sail,skipper,id,boat,class,color,twitter_skipper1,twitter_skipper2,twitter_sponsor,url_skipper1,url_skipper2,url_sponsor,fb_skipper1,fb_skipper2,fb_sponsor,youtube_skipper1,youtube_skipper2,youtube_sponsor
CL40_1,Maxime Sorel / Antoine Carpentier,V AND B,V and B,class40,E4AAAC,,,,,,,,,,,,
CL40_2,Phil Sharp / Pablo Santurde,IMERYS CLEAN ENERGY,Imerys Clean Energy,class40,E5F6EF,,,,,,,,,,,,
CL40_3,Aymeric Chappellier / Arthur Le Vaillant,AINA ENFANCE ET AVENIR,AINA Enfance et Avenir,class40,85B3AF,,,,,,,,,,,,
CL40_4,Bertrand Delesne / Justine Mettraux,TEAMWORK40,Teamwork40,class40,9.00E+280,,,,,,,,,,,,
CL40_5,Olivier Cardin / Cedric Château,REGION NORMANDIE JUNIOR SENIOR BY EVERNEX,Région Normandie Junior Senior by Evernex,class40,D0D961,,,,,,,,,,,,
CL40_6,Massimo Juris / Pietro Luciani,COLOMBRE XL,Colombre XL,class40,F87C62,,,,,,,,,,,,
CL40_7,Tom Laperche / Christophe Bachmann,LE LION D'OR,Le lion d'Or,class40,A34DD7,,,,,,,,,,,,
CL40_8,Catherine Pourre / Benoit Hochard,EARENDIL,Earendil,class40,E6F20E,,,,,,,,,,,,
CL40_9,Sylvain Pontu- Christophe Rateau,GUSTAVE ROUSSY,Gustave Roussy,class40,6AFA72,,,,,,,,,,,,
CL40_10,Olivier Roussey / Philippe Burger,GRAS SAVOYE BERGER SIMON OBPORTUS,Gras Savoye berger Simon Obportus,class40,DE26E0,,,,,,,,,,,,
CL40_11,Marc Dubos / Jacques-Arnaud Seyrig,ESPRIT SCOUT,Esprit Scout,class40,720FBD,,,,,,,,,,,,
CL40_12,Leonardo Chicourel / Jose Guilherme Caldas,MUSSULO 40 TEAM ANGOLA CABLES,Mussulo 40 team angola cables,class40,FF15A5,,,,,,,,,,,,
CL40_13,Andrea Fantini  / Alberto Bona,ENEL GREEN POWER,Enel green power,class40,A7DE22,,,,,,,,,,,,
CL40_14,Louis Duc / Alexis Loison,CARAC,CARAC,class40,3DC3C7,,,,,,,,,,,,
CL40_15,Halvard Mabire / Miranda Merron,CAMPAGNE DE France,Campagne de France,class40,ACC819,,,,,,,,,,,,
MULTI50_1,Lalou Roucayrol / Alex Pella,ARKEMA,Arkema,multi50,DE973F,,,,,,,,,,,,
MULTI50_2,Erwan Le Roux / Vincent Riou,FENETREA - MIX BUFFET,FenetreA - Mix Buffet,multi50,4144AF,,,,,,,,,,,,
MULTI50_3,Armel Tripon / Vincent Barnaud,REAUTE CHOCOLAT,Réauté Chocolat,multi50,C739F3,,,,,,,,,,,,
MULTI50_4,Gilles Lamire / Thierry Duprey du Vorsent,LA FRENCH TECH RENNES SAINT-MALO,La French Tech Rennes Saint-Malo,multi50,9E3B16,,,,,,,,,,,,
MULTI50_5,Eric Defert / Christopher Pratt,DREKAN GROUPE,Drekan Groupe,multi50,37041F,,,,,,,,,,,,
MULTI50_6,Thierry Bouchard / Oliver Krauss,CIELA VILLAGE,Ciela Village,multi50,AC955B,,,,,,,,,,,,
IMOCA_1,Jean-Pierre Dick / Yann Elies,ST MICHEL - VIRBAC,St Michel - Virbac,imoca,6ED21A,,,,,,,,,,,,
IMOCA_2,Paul Meilhat / Gwenole Gahinet,SMA,SMA,imoca,BFCF50,,,,,,,,,,,,
IMOCA_3,Morgan Lagraviere / Eric Peron,DES VOILES ET VOUS !,Des Voiles et Vous !,imoca,B9EF38,,,,,,,,,,,,
IMOCA_4,Boris Herrmann / Thomas Ruyant,MALIZIA II,Malizia II,imoca,f10200,,,,,,,,,,,,
IMOCA_5,Louis Burton / Servane Escoffier,BUREAU VALLEE 2,Bureau Vallee 2,imoca,eb6c39,,,,,,,,,,,,
IMOCA_6,Tanguy De Lamotte / Samantha Davies,INITIATIVES-CŒUR,Initiatives-Cœur,imoca,0b2e82,,,,,,,,,,,,
IMOCA_7,Isabelle Joschke / Pierre Brasseur,GENERALI,Generali,imoca,1e9436,,,,,,,,,,,,
IMOCA_8,Kito de Pavant / Yannick Bestaven,BASTIDE OTIO,Bastide Otio,imoca,558a42,,,,,,,,,,,,
IMOCA_9,Alan Roura / Frederic Denis,LA FABRIQUE,La Fabrique,imoca,bf9c7c,,,,,,,,,,,,
IMOCA_10,Yoann Richomme / Pierre Lacaze,VIVO A BEIRA,Vivo a Beira,imoca,cc0107,,,,,,,,,,,,
IMOCA_11,Arnaud Boissieres / Manuel Cousin,LA MIE CALINE - ARTIPOLE,La Mie Caline - Artipole,imoca,fe640a,,,,,,,,,,,,
IMOCA_12,Fabrice Amadeo / Giancarlo Pedote,NEWREST - BRIOCHE PASQUIER,Newrest - Brioche Pasquier,imoca,c86347,,,,,,,,,,,,
IMOCA_13,Romain Attanasio / Aurelien Ducroz,FAMILLE MARY - ETAMINE DU LYS,Famille Mary - Etamine du Lys,imoca,fac200,,,,,,,,,,,,
ULTIM_1,Thomas Coville / Jean-Luc Nelias,SODEBO ULTIM,Sodebo Ultim,ultimes,00117D,,,,,,,,,,,,
ULTIM_2,Sebastien Josse / Thomas Rouxel,MAXI EDMOND DE ROTHSCHILD,Maxi Edmond de Rothschild,ultimes,DFDF00,,,,,,,,,,,,
ULTIM_3,Lionel Lemonchois / Bernard Stamm,PRINCE DE BRETAGNE,Prince de Bretagne,ultimes,F3E0F6,,,,,,,,,,,,
